game_id,player_id,Player,MIN,FGM-A,3PM-A,FTM-A,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
19,11.0,Jacob Morgan,36,2-8,1-3,8-8,0,8,8,3,1,0,5,1,13
19,1.0,Brandon Joseph,16,0-3,0-0,1-2,1,6,7,2,0,3,1,3,1
19,2.0,Onterio Miller,24,3-6,1-3,5-7,0,4,4,0,1,0,2,3,12
19,,Darnell Morris Jr.,19,3-9,3-6,0-0,0,3,3,1,1,0,1,1,9
19,16.0,Can Dalli,4,0-2,0-2,0-0,0,0,0,0,0,0,0,2,0
20,20.0,Alex Miller,19,1-1,0-0,1-1,0,5,5,3,1,1,3,4,3
20,2.0,Onterio Miller,25,3-7,1-4,0-0,1,3,4,0,0,0,2,1,7
20,3.0,Darrell Green,22,5-12,0-4,0-0,2,1,3,0,1,0,4,1,10
20,6.0,Jaden Workman,27,1-6,0-2,0-0,1,1,2,1,3,1,4,5,2
20,11.0,Jacob Morgan,32,8-15,0-1,1-3,0,5,5,2,1,0,3,1,17
20,1.0,Brandon Joseph,18,2-6,0-0,1-2,1,8,9,0,0,1,0,4,5
20,5.0,Thomas Lewis,4,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0
20,7.0,Josiah Gregg,3,0-0,0-0,0-0,0,0,0,0,0,0,0,2,0
20,9.0,Mal Graham,4,1-2,0-0,0-0,0,0,0,0,0,0,1,0,2
20,,Darnell Morris Jr.,26,5-10,0-3,2-2,1,3,4,0,0,0,1,0,12
20,12.0,Peter Capan,4,1-1,0-0,0-0,0,0,0,0,0,0,0,0,2
20,16.0,Can Dalli,12,2-3,1-2,0-0,0,1,1,0,0,0,2,0,5
20,19.0,Jon Perry,4,0-1,0-1,0-0,0,1,1,0,0,0,0,1,0
21,20.0,Alex Miller,27,3-7,0-0,1-3,2,6,8,1,1,0,2,1,7
21,2.0,Onterio Miller,20,1-7,0-4,0-0,1,1,2,0,0,0,2,4,2
21,3.0,Darrell Green,27,5-11,0-5,3-4,1,5,6,0,0,1,1,0,13
21,6.0,Jaden Workman,28,2-3,0-1,4-5,0,1,1,2,0,0,1,1,8
21,11.0,Jacob Morgan,34,5-13,1-1,5-6,2,4,6,3,1,1,3,3,16
21,1.0,Brandon Joseph,17,3-5,0-0,4-6,3,2,5,1,1,0,1,3,10
21,5.0,Thomas Lewis,3,0-0,0-0,2-2,0,1,1,0,0,0,0,0,2
21,7.0,Josiah Gregg,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
21,9.0,Mal Graham,4,2-2,2-2,0-0,0,0,0,0,0,0,0,1,6
21,,Darnell Morris Jr.,18,1-6,0-1,0-0,1,3,4,1,0,0,4,5,2
21,12.0,Peter Capan,2,0-0,0-0,0-0,0,0,0,1,0,0,1,1,0
21,16.0,Can Dalli,15,2-3,2-3,0-0,0,0,0,1,2,0,0,1,6
21,19.0,Jon Perry,5,0-1,0-0,0-0,1,1,2,0,0,0,0,0,0
22,20.0,Alex Miller,24,2-4,0-0,0-0,1,2,3,2,0,1,1,1,4
22,2.0,Onterio Miller,27,6-10,3-6,3-3,0,4,4,1,0,0,1,0,18
22,3.0,Darrell Green,32,3-6,1-3,2-2,1,6,7,3,0,0,4,2,9
