game_id,Player,Player_and_number,MIN,FGM-A,3PM-A,FTM-A,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
12,TALS,TOTALS,,26-59,"""6-22""","""4-6""",7,25,32,12,8,5,13,13,62
12,,,,44.10%,27.30%,66.70%,,,,,,,,,
13,ARTERS,STARTERS,,,,,,,,,,,,,
13,Darrell Green,02Darrell Green,24,"""1-4""","""1-3""","""2-2""",0,1,1,2,0,0,1,2,5
13,Liech Kong,14Liech Kong,28,"""3-6""","""1-3""","""1-2""",0,7,7,0,1,1,7,3,8
13,Darnell Morris Jr.,20Darnell Morris Jr.,22,"""2-4""",0-1,0-0,0,1,1,1,1,0,4,2,4
13,Jacob Morgan,21Jacob Morgan,34,"""2-5""","""1-1""","""7-8""",0,4,4,5,1,0,5,2,12
13,Alex Miller,45Alex Miller,10,"""1-1""",0-0,0-0,2,2,4,0,0,0,1,3,2
13,SERVES,RESERVES,,,,,,,,,,,,,
13,Brandon Joseph,00Brandon Joseph,16,"""3-6""",0-0,"""4-7""",1,3,4,0,2,0,3,3,10
13,Onterio Miller,01Onterio Miller,10,0-1,0-1,0-0,1,0,1,0,1,0,2,0,0
13,Thomas Lewis,05Thomas Lewis,11,"""1-2""","""1-2""",0-0,0,0,0,1,0,0,0,0,3
13,Jaden Workman,11Jaden Workman,10,0-2,0-1,0-0,0,0,0,0,0,0,3,2,0
13,Mal Graham,15Mal Graham,4,0-1,0-0,0-0,0,0,0,0,1,0,0,1,0
13,Peter Capan,22Peter Capan,5,0-1,0-1,0-0,0,0,0,1,0,0,0,0,0
13,David Nwankwo,23David Nwankwo,3,0-1,0-0,"""2-2""",1,0,1,0,0,0,1,1,2
13,Can Dalli,32Can Dalli,17,"""2-6""","""2-6""",0-0,0,3,3,0,0,0,1,1,6
13,Jon Perry,44Jon Perry,6,0-3,0-1,"""3-4""",2,4,6,0,0,0,0,2,3
13,Team,TMTeam,,,,,4,3,7,,,,0,0,
13,TALS,TOTALS,,15-43,"""6-20""",19-25,11,28,39,10,7,1,28,22,55
13,,,,34.90%,30.00%,76.00%,,,,,,,,,
14,ARTERS,STARTERS,,,,,,,,,,,,,
14,Liech Kong,F14Liech Kong,27,"""5-12""","""3-7""",0-1,3,2,5,1,0,1,1,3,13
14,Darrell Green,G02Darrell Green,31,"""2-9""",0-4,0-0,5,2,7,0,1,1,1,2,4
14,Darnell Morris Jr.,G20Darnell Morris Jr.,15,"""1-5""","""1-3""",0-1,0,2,2,0,1,0,2,0,3
14,Jacob Morgan,G21Jacob Morgan,38,"""3-10""",0-3,"""6-8""",3,4,7,7,5,0,8,1,12
